Stock name,Symbol,Link,Scrap_Link
Tata Steel Limited,TATASTEEL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TATASTEEL""",https://in.tradingview.com/symbols/NSE-TATASTEEL/news/
Tata Technologies Ltd,TATATECH,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TATATECH""",https://in.tradingview.com/symbols/NSE-TATATECH/news/
Tata Silver Exchange Traded Fund,TATSILV,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TATSILV""",https://in.tradingview.com/symbols/NSE-TATSILV/news/
Tatva Chintan Pharma Chem Ltd,TATVA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TATVA""",https://in.tradingview.com/symbols/NSE-TATVA/news/
TBO Tek Ltd,TBOTEK,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TBOTEK""",https://in.tradingview.com/symbols/NSE-TBOTEK/news/
Tribhovandas Bhimji Zaveri Limited,TBZ,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TBZ""",https://in.tradingview.com/symbols/NSE-TBZ/news/
Transport Corporation Of India Limited,TCI,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TCI""",https://in.tradingview.com/symbols/NSE-TCI/news/
Tci Express Limited,TCIEXP,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TCIEXP""",https://in.tradingview.com/symbols/NSE-TCIEXP/news/
Tci Finance Limited,TCIFINANCE,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TCIFINANCE""",https://in.tradingview.com/symbols/NSE-TCIFINANCE/news/
TCPL Packaging Ltd,TCPLPACK,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TCPLPACK""",https://in.tradingview.com/symbols/NSE-TCPLPACK/news/
Tata Consultancy Services Limited,TCS,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TCS""",https://in.tradingview.com/symbols/NSE-TCS/news/
Td Power Systems Limited,TDPOWERSYS,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TDPOWERSYS""",https://in.tradingview.com/symbols/NSE-TDPOWERSYS/news/
Teamlease Services Limited,TEAMLEASE,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TEAMLEASE""",https://in.tradingview.com/symbols/NSE-TEAMLEASE/news/
Aditya Birla Sun Life Nifty IT ETF,TECH,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TECH""",https://in.tradingview.com/symbols/NSE-TECH/news/
Tech Mahindra Limited,TECHM,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TECHM""",https://in.tradingview.com/symbols/NSE-TECHM/news/
Techno Electric & Engineering Company Ltd,TECHNOE,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TECHNOE""",https://in.tradingview.com/symbols/NSE-TECHNOE/news/
TECIL Chemical & Hydro Power Ltd,TECILCHEM,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TECILCHEM""",https://in.tradingview.com/symbols/NSE-TECILCHEM/news/
Tega Industries Ltd,TEGA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TEGA""",https://in.tradingview.com/symbols/NSE-TEGA/news/
Tejas Networks,TEJASNET,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TEJASNET""",https://in.tradingview.com/symbols/NSE-TEJASNET/news/
Tembo Global Industries Ltd,TEMBO,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TEMBO""",https://in.tradingview.com/symbols/NSE-TEMBO/news/
Texmaco Infrastructure & Holdings Limited,TEXINFRA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TEXINFRA""",https://in.tradingview.com/symbols/NSE-TEXINFRA/news/
Texmo Pipes And Products Limited,TEXMOPIPES,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TEXMOPIPES""",https://in.tradingview.com/symbols/NSE-TEXMOPIPES/news/
Texmaco Rail & Engineering Limited,TEXRAIL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TEXRAIL""",https://in.tradingview.com/symbols/NSE-TEXRAIL/news/
Tourism Finance Corporation Of India Limited,TFCILTD,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TFCILTD""",https://in.tradingview.com/symbols/NSE-TFCILTD/news/
Tgb Banquets And Hotels Limited,TGBHOTELS,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TGBHOTELS""",https://in.tradingview.com/symbols/NSE-TGBHOTELS/news/
Thangamayil Jewellery Limited,THANGAMAYL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:THANGAMAYL""",https://in.tradingview.com/symbols/NSE-THANGAMAYL/news/
The Investment Trust of India Ltd,THEINVEST,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:THEINVEST""",https://in.tradingview.com/symbols/NSE-THEINVEST/news/
Thejo Engineering Ltd,THEJO,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:THEJO""",https://in.tradingview.com/symbols/NSE-THEJO/news/
Themis Medicare Limited,THEMISMED,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:THEMISMED""",https://in.tradingview.com/symbols/NSE-THEMISMED/news/
Thermax Limited,THERMAX,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:THERMAX""",https://in.tradingview.com/symbols/NSE-THERMAX/news/
Thomas Cook  (india)  Limited,THOMASCOOK,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:THOMASCOOK""",https://in.tradingview.com/symbols/NSE-THOMASCOOK/news/
Thomas Scott (india) Limited,THOMASCOTT,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:THOMASCOTT""",https://in.tradingview.com/symbols/NSE-THOMASCOTT/news/
Thyrocare Technologies Limited,THYROCARE,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:THYROCARE""",https://in.tradingview.com/symbols/NSE-THYROCARE/news/
Tilaknagar Industries Limited,TI,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TI""",https://in.tradingview.com/symbols/NSE-TI/news/
Tantia Constructions Ltd,TICL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TICL""",https://in.tradingview.com/symbols/NSE-TICL/news/
Technocraft Industries (india) Limited,TIIL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TIIL""",https://in.tradingview.com/symbols/NSE-TIIL/news/
